audio_path,audio_filename,subtitle,text_for_tts,reason
\voice\lmu\night_stint,1.wav,"si sta facendo buio, accendi i fari","si sta facendo buio, accendi i fari",frase_mancante
\voice\lmu\night_stint,2.wav,"stint notturno, attenzione alla visibilità ridotta","stint notturno, attenzione alla visibilità ridotta",frase_mancante
\voice\lmu\night_stint,3.wav,"occhio alle zone d'ombra, frena con anticipo","occhio alle zone d'ombra, frena con anticipo",frase_mancante
\voice\lmu\night_stint,4.wav,"la pista è più fredda di notte, le gomme faticano","la pista è più fredda di notte, le gomme faticano",frase_mancante
\voice\lmu\night_stint,5.wav,"sta albeggiando, la visibilità migliora","sta albeggiando, la visibilità migliora",frase_mancante
\voice\lmu\night_stint,6.wav,"attenzione ai fari delle altre, non farti abbagliare","attenzione ai fari delle altre, non farti abbagliare",frase_mancante
\voice\lmu\night_stint,7.wav,"stint notturno quasi finito, tieni duro","stint notturno quasi finito, tieni duro",frase_mancante
\voice\lmu\weather,1.wav,"prime gocce di pioggia, potrebbe peggiorare","prime gocce di pioggia, potrebbe peggiorare",frase_mancante
\voice\lmu\weather,2.wav,"pioggia in aumento, valuta la sosta per le rain","pioggia in aumento, valuta la sosta per le rein",frase_mancante
\voice\lmu\weather,3.wav,"la pista si asciuga, prepariamoci a passare alle slick","pista si asciuga, prepariamoci per le slik",frase_mancante
\voice\lmu\weather,4.wav,"zone bagnate in curva, attenzione ai cordoli","zone bagnate in curva, attenzione ai cordoli",frase_mancante
\voice\lmu\weather,5.wav,"pista mista bagnato e asciutto, piano nelle zone umide","pista mista bagnato e asciutto, piano nelle zone umide",frase_mancante
\voice\lmu\weather,6.wav,"pioggia fra dieci minuti, prepariamoci","pioggia fra dieci minuti, prepariamoci",frase_mancante
\voice\lmu\weather,7.wav,"pioggia in calo, qualche giro e asciuga","pioggia in calo, qualche giro e asciuga",frase_mancante
\voice\lmu\energy_management,1.wav,usa il deploy in uscita di curva,usa il diploi in uscita di curva,frase_mancante
\voice\lmu\energy_management,2.wav,"risparmia energia qui, ricarica la batteria","risparmia energia, ricarica la batteria",frase_mancante
\voice\lmu\energy_management,3.wav,"deploy disponibile, usalo nel rettilineo principale","diploi disponibile, usalo nel rettilineo",frase_mancante
\voice\lmu\energy_management,4.wav,"batteria bassa, modalita' ricarica per un giro","batteria bassa, modalita' ricarica per un giro",frase_mancante
\voice\lmu\energy_management,5.wav,"energia piena, puoi spingere col deploy","energia piena, puoi spingere col diploi",frase_mancante
\voice\lmu\energy_management,6.wav,"gestisci l'ibrido, non sprecare nelle curve lente","gestisci l'ibrido, non sprecare nelle curve lente",frase_mancante
\voice\lmu\energy_management,7.wav,"ottimo recupero energetico, continua cosi'","ottimo recupero energetico, continua cosi'",frase_mancante
\voice\sweary_messages\bad_start,1.wav,"accidenti, che partenza orribile!","accidenti, che partenza orribile!",frase_mancante
\voice\sweary_messages\bad_start,2.wav,ma che cavolo di partenza è stata?,ma che cavolo di partenza è stata?,frase_mancante
\voice\sweary_messages\bad_start,3.wav,"mannaggia, partenza da dimenticare","mannaggia, partenza da dimenticare",frase_mancante
\voice\sweary_messages\bad_start,4.wav,"porco giuda, che disastro alla partenza",porco giuda che disastro alla partenza,frase_mancante
\voice\sweary_messages\bad_start,5.wav,"dai cavolo, dovevi fare meglio!","dai cavolo, dovevi fare meglio!",frase_mancante
\voice\sweary_messages\good_start,1.wav,"accidenti che partenza, grande!","accidenti che partenza, grande!",frase_mancante
\voice\sweary_messages\good_start,2.wav,"caspita, che razzo alla partenza!","caspita, che razzo alla partenza!",frase_mancante
\voice\sweary_messages\good_start,3.wav,porca miseria che partenza fantastica,porca miseria che partenza fantastica,frase_mancante
\voice\sweary_messages\good_start,4.wav,"cavolo, li hai bruciati tutti!","cavolo, li hai bruciati tutti!",frase_mancante
\voice\sweary_messages\good_start,5.wav,"madonna che partenza, sei un fenomeno!","madonna che partenza, sei un fenomeno!",frase_mancante
\voice\sweary_messages\after_crash,1.wav,che macello! ma dove andavi?,che macello! ma dove andavi?,frase_mancante
\voice\sweary_messages\after_crash,2.wav,"mannaggia la miseria, che botta!","mannaggia la miseria, che botta!",frase_mancante
\voice\sweary_messages\after_crash,3.wav,"porco giuda, che incidente!","porco giuda, che incidente!",frase_mancante
\voice\sweary_messages\after_crash,4.wav,accidenti! vedi se la macchina va ancora,accidenti! vedi se la macchina va ancora,frase_mancante
\voice\sweary_messages\after_crash,5.wav,"cavolo, che botto! tutto a posto?","cavolo, che botto! tutto a posto?",frase_mancante
\voice\sweary_messages\after_crash,6.wav,"porca vacca, che disastro!","porca vacca, che disastro!",frase_mancante
\voice\sweary_messages\lost_position,1.wav,"accidenti, ti ha passato! reagisci!","accidenti, ti ha passato! reagisci!",frase_mancante
\voice\sweary_messages\lost_position,2.wav,"mannaggia, posizione persa! dai, riprendilo!","mannaggia posizione persa, dai riprendilo",frase_mancante
\voice\sweary_messages\lost_position,3.wav,"ma dove va questo, ti ha fregato la posizione","ma dove va questo, ti ha fregato la posizione",frase_mancante
\voice\sweary_messages\lost_position,4.wav,"cavolo ti sei fatto passare, sveglia","cavolo ti sei fatto passare, sveglia",frase_mancante
\voice\sweary_messages\lost_position,5.wav,"porco giuda, ti ha superato! muoviti!","porco giuda ti ha superato, muoviti",frase_mancante
\voice\sweary_messages\gained_position,1.wav,"dai cavolo, lo hai fregato! grande!","dai cavolo lo hai fregato, grande",frase_mancante
\voice\sweary_messages\gained_position,2.wav,"porca miseria, che sorpasso! fantastico!","porca miseria, che sorpasso! fantastico!",frase_mancante
\voice\sweary_messages\gained_position,3.wav,"accidenti, che manovra! bravo!","accidenti, che manovra! bravo!",frase_mancante
\voice\sweary_messages\gained_position,4.wav,"caspita, che sorpasso da paura!","caspita, che sorpasso da paura!",frase_mancante
\voice\sweary_messages\race_win,1.wav,"porca miseria abbiamo vinto, grande","porca miseria abbiamo vinto, grande",frase_mancante
\voice\sweary_messages\race_win,2.wav,"mannaggia che emozione, vittoria, sei un mito","mannaggia che emozione, vittoria, sei un mito",frase_mancante
\voice\sweary_messages\race_win,3.wav,"cavolo ce l'abbiamo fatta, che gara","cavolo ce l'abbiamo fatta, che gara",frase_mancante
\voice\sweary_messages\race_win,4.wav,"porco giuda che gara incredibile, primo","porco giuda che gara incredibile, primo",frase_mancante
\voice\sweary_messages\race_win,5.wav,"accidenti che vittoria pazzesca, sei un fenomeno","accidenti che vittoria pazzesca, sei un fenomeno",frase_mancante
\voice\damage_reporting\damage,1.wav,abbiamo dei danni,abbiamo dei danni,frase_mancante
\voice\damage_reporting\damage,2.wav,la macchina ha dei danni,la macchina ha dei danni,frase_mancante
\voice\damage_reporting\damage,3.wav,abbiamo preso un colpo ci sono danni,abbiamo preso un colpo ci sono danni,frase_mancante
\voice\damage_reporting\damage,4.wav,la macchina e' danneggiata,la macchina e' danneggiata,frase_mancante
\voice\damage_reporting\wheel_damage,1.wav,hai un danno alla ruota,hai un danno alla ruota,frase_mancante
\voice\damage_reporting\wheel_damage,2.wav,una ruota e' danneggiata,una ruota e' danneggiata,frase_mancante
\voice\damage_reporting\wheel_damage,3.wav,c'e' un problema con una ruota,c'e' un problema con una ruota,frase_mancante
\voice\flags\virtual_safety_car,1.wav,virtual safety car stai attento,virtual safety car stai attento,frase_mancante
\voice\flags\virtual_safety_car,2.wav,virtual safety car attiva rallenta,virtual safety car attiva rallenta,frase_mancante
\voice\flags\virtual_safety_car,3.wav,"vi esse ci attiva, rispetta il limite","vi esse ci attiva, rispetta il limite",frase_mancante
\voice\flags\virtual_safety_car_phase_over,1.wav,virtual safety car finita via libera,virtual safety car finita via libera,frase_mancante
\voice\flags\virtual_safety_car_phase_over,2.wav,"vi esse ci finita, si riparte","vi esse ci finita, si riparte",frase_mancante
\voice\flags\virtual_safety_car_phase_over,3.wav,fine della virtual safety car andiamo,fine della virtual safety car andiamo,frase_mancante
\voice\flags\virtual_safety_car_speed,1.wav,resta sotto la velocita' della virtual safety car,resta sotto la velocita' della virtual safety car,frase_mancante
\voice\flags\virtual_safety_car_speed,2.wav,attenzione al limite vi esse ci,attenzione al limite vi esse ci,frase_mancante
\voice\flags\stay_below_vsc_speed,1.wav,resta sotto la velocita' vi esse ci,resta sotto la velocita' vi esse ci,frase_mancante
\voice\flags\stay_below_vsc_speed,2.wav,"rallenta, sei sopra il limite vi esse ci","rallenta, sei sopra il limite vi esse ci",frase_mancante
\voice\fuel\not_enough_laps_for_average,1.wav,non abbastanza giri per la media carburante,non abbastanza giri per la media carburante,frase_mancante
\voice\fuel\not_enough_laps_for_average,2.wav,servono piu' giri per stimare il consumo,servono piu' giri per stimare il consumo,frase_mancante
\voice\lap_counter\race_starts_in,1.wav,la gara inizia tra,la gara inizia tra,frase_mancante
\voice\lap_counter\race_starts_in,2.wav,partenza tra,partenza tra,frase_mancante
\voice\lap_counter\race_starts_in,3.wav,si parte tra,si parte tra,frase_mancante
\voice\mandatory_pit_stops\no_pit_timings_unreliable_fuel_estimates,1.wav,stime carburante non affidabili senza tempi pit,stime carburante non affidabili senza tempi pit,frase_mancante
\voice\mandatory_pit_stops\no_pit_timings_unreliable_fuel_estimates,2.wav,senza tempi pit le stime carburante sono approssimative,senza tempi pit le stime carburante sono approssimative,frase_mancante
\voice\mandatory_pit_stops\no_pit_timings_unreliable_position_estimates,1.wav,stime posizione non affidabili senza tempi pit,stime posizione non affidabili senza tempi pit,frase_mancante
\voice\mandatory_pit_stops\no_pit_timings_unreliable_position_estimates,2.wav,senza tempi pit le stime posizione sono approssimative,senza tempi pit le stime posizione sono approssimative,frase_mancante
\voice\multiclass\lmdh,1.wav,LMDh,elleemmedieacca,frase_mancante
\voice\multiclass\lmdh,2.wav,LMDh,elleemmedieacca,frase_mancante
\voice\multiclass\lmdh_runners,1.wav,macchine LMDh,macchine elleemmedieacca,frase_mancante
\voice\multiclass\lmdh_runners,2.wav,piloti LMDh,piloti elleemmedieacca,frase_mancante
\voice\multiclass\gtp,1.wav,GTP,gitipi',frase_mancante
\voice\multiclass\gtp,2.wav,GTP,gitipi',frase_mancante
\voice\multiclass\gtp_runners,1.wav,macchine GTP,macchine gitipi',frase_mancante
\voice\multiclass\gtp_runners,2.wav,piloti GTP,piloti gitipi',frase_mancante
\voice\penalties\disqualified_no_headlights,1.wav,siamo stati squalificati per guida senza fari,siamo stati squalificati per guida senza fari,frase_mancante
\voice\penalties\disqualified_no_headlights,2.wav,squalificati senza fari accesi,squalificati senza fari accesi,frase_mancante
\voice\penalties\slow_down_penalty_clear,1.wav,penalita' di rallentamento scontata,penalita' di rallentamento scontata,frase_mancante
\voice\penalties\slow_down_penalty_clear,2.wav,ok penalita' scontata,ok penalita' scontata,frase_mancante
\voice\penalties\vsc_violation_penalty,1.wav,penalita' per violazione virtual safety car,penalita' per violazione virtual safety car,frase_mancante
\voice\penalties\vsc_violation_penalty,2.wav,penalita' per violazione vi esse ci,penalita' per violazione vi esse ci,frase_mancante
\voice\penalties\warning_headlights_required_when_raining,1.wav,piove i fari sono obbligatori accendili,piove i fari sono obbligatori accendili,frase_mancante
\voice\penalties\warning_headlights_required_when_raining,2.wav,devi accendere i fari con la pioggia,devi accendere i fari con la pioggia,frase_mancante
\voice\position\p,1.wav,P,pi,frase_mancante
\voice\rejoining\rejoin_clear,1.wav,puoi rientrare in pista e' libero,puoi rientrare in pista e' libero,frase_mancante
\voice\rejoining\rejoin_clear,2.wav,via libera rientra in pista,via libera rientra in pista,frase_mancante
\voice\rejoining\rejoin_clear,3.wav,pista libera rientra,pista libera rientra,frase_mancante
\voice\rejoining\rejoin_wait,1.wav,aspetta non rientrare ci sono macchine in arrivo,aspetta non rientrare ci sono macchine in arrivo,frase_mancante
\voice\rejoining\rejoin_wait,2.wav,fermo aspetta che passino,fermo aspetta che passino,frase_mancante
\voice\rejoining\rejoin_wait,3.wav,attenzione traffico in arrivo aspetta,attenzione traffico in arrivo aspetta,frase_mancante
\voice\timings\car_behind_is_lapping_us,1.wav,"la macchina dietro ci doppia, lasciala passare","la macchina dietro ci doppia, lasciala passare",frase_mancante
\voice\timings\car_behind_is_lapping_us,2.wav,ci stanno doppiando fai passare,ci stanno doppiando fai passare,frase_mancante
\voice\timings\car_behind_is_unlapping_itself,1.wav,la macchina dietro si sta sdoppiando,la macchina dietro si sta sdoppiando,frase_mancante
\voice\timings\car_behind_is_unlapping_itself,2.wav,si sta sdoppiando lasciala andare,si sta sdoppiando lasciala andare,frase_mancante
